nombre;genero;dia_presentacion;hit_del_momento
Bad Bunny;Reggeaton;2;Me Porto Bonito
Polimá Westcoast;Trap Chileno;1;Ultra Solo Remix
Harry Styles;Pop;3;Watermelon Sugar
Los Bunerks;Rock;2;Llueve Sobre La ciudad
Standly;Trap Chileno;3;Marisola
Doja Cat;Pop;1;Woman
Rauw Alejandro;Reggeaton;2;2/Catorce
Fito Páez;Rock;1;11 Y 6
Mora;Reggeaton;2;Playa Privada
Alvaro Diaz;Reggeaton;1;Problemon
Pailita;Trap Chileno;3;Caminemos de la Mano
Dua Lipa;Pop;1;One Kiss
Los Prisioneros;Rock;3;Estrechez De Corazón 
Billie Eilish;Pop;1;idontwannabeyouanymore
Young Cister;Trap Chileno;2;LA TERAPAIA
Soda Stereo;Rock;3;En la Ciudad de la Furia
Cris Mj;Trap Chileno;2;Me Arrepentí